sample_name	UMAP_x	UMAP_y	umap_hdb_cluster_labels	kmeans_cluster_labels
P00576	1.254633	2.2305894	6	2
P00414	1.9802643	2.3960881	-1	2
P00546	0.3287117	2.0348544	-1	0
P00620	0.87083036	2.067894	6	2
P00466	3.07793	2.039755	2	9
P00663	0.67895657	6.667589	4	4
P00502	-0.5440622	2.3985808	5	0
P00595	-0.55048513	2.4129212	5	0
P00651	3.1564732	2.1430814	2	9
P00646	3.7274904	2.4445407	3	9
P00543	4.2139163	2.2885592	3	7
P00433	1.1188866	4.9518623	4	5
P00497	0.97203594	2.2599027	6	2
P00437	0.8751402	2.0463521	6	2
P00500	-0.54455817	4.8732057	9	8
P00501	-0.25012732	4.3451533	-1	8
P00459	4.444375	2.5673912	3	9
P00448	1.3483689	2.2589147	6	2
P00645	-1.3210173	3.4161813	11	6
P00573	5.2598357	1.7993997	1	1
P00456	5.2029057	1.9167173	1	1
P00406	-1.2836969	3.411949	11	6
P00558	-0.016239984	6.4910913	4	8
P00443	1.1503581	1.7424464	6	2
P00559	-0.51679265	2.380966	5	0
P00425	-0.3596743	4.4125676	-1	8
P00622	0.28460598	6.582937	4	8
P00624	1.1697346	5.121263	4	5
P00484	-0.8643497	4.188863	12	8
P00467	3.1057796	2.0880508	2	9
P00554	3.3007362	2.9654875	-1	9
P00597	1.6164424	3.9900615	-1	5
P00596	-0.4589398	2.307234	5	0
P00619	1.5813576	6.6451316	4	4
P00428	-0.25592807	3.5676317	-1	6
P00577	-1.1899416	3.5289617	11	6
P00515	0.37329262	4.564224	-1	5
P00506	1.3823382	6.034446	4	4
P00614	1.7699836	2.4370604	-1	2
P00479	3.2276304	2.1292505	2	9
P00592	0.53577906	6.705759	4	4
P00447	1.2441871	5.5442357	4	3
P00493	2.1407433	5.791915	4	3
P00488	1.3407186	3.2317185	-1	6
P00550	-0.36630583	4.435241	-1	8
P00656	1.959368	2.7107742	-1	2
P00582	-1.004978	4.1140046	12	8
P00627	0.051805977	4.8602586	-1	5
P00547	-0.60889083	4.816967	9	8
P00650	3.3254752	2.2749412	2	9
P00598	5.305588	1.8271533	1	1
P00405	1.6946224	2.376708	6	2
P00418	5.0740514	2.19866	1	1
P00564	0.5126499	4.643352	-1	5
P00626	3.6321387	3.0032291	3	9
P00658	1.1200286	1.8313336	6	2
P00642	0.89079255	3.9162374	8	5
P00553	0.90695465	3.7232943	8	5
P00555	1.1784176	5.0518994	4	5
P00623	-0.62929845	4.811295	9	8
P00591	1.5544149	5.7805543	4	3
P00504	0.9089671	6.159975	4	4
P00602	1.6903015	3.8990614	-1	5
P00445	-0.07339217	6.1231155	4	8
P00605	0.72039074	2.5024664	6	2
P00413	3.8740873	3.625298	0	9
P00599	4.5500064	2.358182	3	9
P00638	1.7571665	5.6551056	4	3
P00472	0.9047411	2.6839595	6	2
P00566	1.8774679	2.7759545	-1	6
P00495	0.8174022	4.266139	8	5
P00510	3.0510743	3.1395054	-1	9
P00662	0.30758482	4.6821594	-1	3
P00460	1.0698988	6.550522	4	4
P00648	1.2910992	2.180702	6	2
P00635	1.2069275	1.5848011	-1	2
P00521	-1.2053382	3.5168025	11	6
P00410	0.8264482	4.3637238	8	5
P00637	0.6040109	2.82092	6	2
P00567	-0.09694764	6.029849	4	8
P00485	1.7082837	6.737958	-1	2
P00469	1.0489812	5.949617	4	4
P00486	3.9046333	2.1765647	3	7
P00512	3.857459	3.7623522	0	9
P00611	-0.5429045	2.3933334	5	0
P00530	1.8886533	3.398799	-1	5
P00557	4.762287	2.1354377	1	9
P00455	-0.1043264	6.041682	4	8
P00633	2.1505487	5.662515	4	3
